Date,Description,Amount,Currency,Status
25-02-2020,AMAZON,237,INR,Non-Duplicate
16-09-2022,GOOGLE CLOUD,310,USD,Non-Duplicate
15-04-2020,PAYPAL,66,INR,Non-Duplicate
20-06-2020,DROPBOX,222,EUR,Non-Duplicate
01-10-2020,MICROSOFT 365,148,USD,Non-Duplicate
14-09-2022,HULU,2,INR,Non-Duplicate
05-11-2020,HULU,469,GBP,Non-Duplicate
24-02-2021,KAGGLE,489,EUR,Non-Duplicate
07-02-2021,COURSERA,386,INR,Non-Duplicate
17-04-2021,SPOTIFY,436,GBP,Non-Duplicate
06-05-2021,TWITCH,33,GBP,Non-Duplicate
25-03-2021,DISNEY+,239,GBP,Non-Duplicate
25-11-2022,STRIPE,480,USD,Non-Duplicate
02-09-2021,DISNEY+,338,USD,Non-Duplicate
06-07-2021,DISNEY+,366,USD,Non-Duplicate
02-04-2020,SQUARE,429,USD,Non-Duplicate
04-04-2022,ZAPIER,366,GBP,Non-Duplicate
06-01-2021,DROPBOX,185,GBP,Non-Duplicate
17-06-2020,KAGGLE,371,GBP,Non-Duplicate
10-05-2021,SQUARE,289,GBP,Non-Duplicate
11-09-2022,ZAPIER,274,EUR,Non-Duplicate
26-01-2021,TRELLO,333,GBP,Non-Duplicate
10-01-2021,KAGGLE,89,EUR,Non-Duplicate
16-02-2021,UBER,22,GBP,Non-Duplicate
13-12-2020,DROPBOX,364,INR,Non-Duplicate
14-10-2021,GITHUB,346,USD,Non-Duplicate
22-11-2020,DOORDASH,164,EUR,Non-Duplicate
16-09-2022,NETFLIX,465,GBP,Non-Duplicate
13-09-2021,ADOBE CC,109,GBP,Non-Duplicate
03-06-2022,AIRBNB,489,EUR,Non-Duplicate
